,D,T,P,DP
0,2020-08-18 12:00:00,27,,25
1,2020-08-18 13:00:00,28,29.87,25
2,2020-08-18 14:00:00,29,29.88,25
3,2020-08-18 15:00:00,29,29.88,26
4,2020-08-18 16:00:00,33,29.87,26
5,2020-08-18 17:00:00,33,29.88,27
6,2020-08-18 18:00:00,33,29.85,26
7,2020-08-18 19:00:00,32,29.82,26
8,2020-08-18 20:00:00,32,29.8,25
9,2020-08-19 12:00:00,27,29.84,25
10,2020-08-19 13:00:00,27,29.88,25
11,2020-08-19 14:00:00,30,29.87,26
12,2020-08-19 15:00:00,30,29.89,25
13,2020-08-19 16:00:00,31,29.89,28
14,2020-08-19 17:00:00,33,29.87,27
15,2020-08-19 18:00:00,31,29.83,26
16,2020-08-19 19:00:00,34,29.79,27
17,2020-08-19 19:25:00,32,29.79,27
18,2020-08-19 20:00:00,30,29.79,26
19,2020-08-20 12:00:00,28,,26
20,2020-08-20 13:00:00,28,29.91,25
21,2020-08-20 14:00:00,29,29.92,24
22,2020-08-20 15:00:00,30,29.91,25
23,2020-08-20 16:00:00,30,29.93,26
24,2020-08-20 18:00:00,32,29.89,26
25,2020-08-20 19:00:00,32,29.86,26
26,2020-08-20 20:00:00,29,29.85,25
