,D,T,P,DP
5,2020-09-01 00:00:00,14.0,30.31,12.0
6,2020-09-01 01:00:00,13.0,30.34,9.0
7,2020-09-01 02:00:00,12.0,30.36,9.0
8,2020-09-01 03:00:00,,,
9,2020-09-01 04:00:00,,,
10,2020-09-01 05:00:00,,,
11,2020-09-01 06:00:00,,,
12,2020-09-01 07:00:00,,,
13,2020-09-01 08:00:00,,,
14,2020-09-01 09:00:00,,,
15,2020-09-01 10:00:00,,,
17,2020-09-01 11:00:00,,,
18,2020-09-01 12:00:00,,,
19,2020-09-01 13:00:00,,,
20,2020-09-01 14:00:00,,,
21,2020-09-01 15:00:00,,,
22,2020-09-01 16:00:00,,,
23,2020-09-01 17:00:00,,,
24,2020-09-01 18:00:00,,,
25,2020-09-01 19:00:00,,,
26,2020-09-01 20:00:00,,,
27,2020-09-01 21:00:00,19.0,30.24,11.0
28,2020-09-01 22:00:00,18.0,30.24,10.0
29,2020-09-01 23:00:00,,,
30,2020-09-02 00:00:00,,,
31,2020-09-02 01:00:00,,,
32,2020-09-02 02:00:00,,,
33,2020-09-02 03:00:00,,,
34,2020-09-02 04:00:00,,,
35,2020-09-02 05:00:00,,,
36,2020-09-02 06:00:00,,,
37,2020-09-02 07:00:00,,,
38,2020-09-02 08:00:00,,,
39,2020-09-02 09:00:00,,,
40,2020-09-02 10:00:00,,,
42,2020-09-02 11:00:00,,,
44,2020-09-02 12:00:00,,,
45,2020-09-02 13:00:00,,,
46,2020-09-02 14:00:00,,,
47,2020-09-02 15:00:00,15.0,30.37,12.0
48,2020-09-02 16:00:00,17.0,30.36,10.0
49,2020-09-02 17:00:00,16.0,30.33,10.0
50,2020-09-02 18:00:00,,,
51,2020-09-02 19:00:00,15.0,30.29,11.0
52,2020-09-02 20:00:00,15.0,30.26,11.0
53,2020-09-02 21:00:00,14.0,30.24,10.0
54,2020-09-02 22:00:00,14.0,30.24,11.0
55,2020-09-02 23:00:00,14.0,30.26,9.0
56,2020-09-03 00:00:00,,,
57,2020-09-03 01:00:00,,,
58,2020-09-03 02:00:00,12.0,30.33,11.0
59,2020-09-03 03:00:00,12.0,30.35,11.0
60,2020-09-03 04:00:00,12.0,30.35,11.0
61,2020-09-03 05:00:00,,,
62,2020-09-03 06:00:00,,,
63,2020-09-03 07:00:00,,,
64,2020-09-03 08:00:00,,,
65,2020-09-03 09:00:00,,,
66,2020-09-03 10:00:00,11.0,30.28,10.0
68,2020-09-03 11:00:00,,,
69,2020-09-03 12:00:00,,,
70,2020-09-03 13:00:00,,,
71,2020-09-03 14:00:00,15.0,30.34,10.0
72,2020-09-03 15:00:00,17.0,30.33,9.0
73,2020-09-03 16:00:00,,,
74,2020-09-03 17:00:00,,,
75,2020-09-03 18:00:00,,,
76,2020-09-03 19:00:00,,,
