Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
337,Bulerias - Alcantarillado,-75.59013,6.23911,Medellin,Belen,16 Belen,,,2018-10-30,Activa
339,Ecoparque el Salado - Pluviografica,-75.56922,6.13868,Envigado,,,,Pantanillo,2018-11-23,Activa
340,Q. Dona Maria - Temperatura,-75.59789,6.18104,Itagui,Santa Maria No. 3,,,,2018-12-12,Activa
342,Hatillo - rio Medellin-Aburra,-75.39381,6.41249,Barbosa,,,,Hatillo,2018-12-04,Activa
344,La harenala santa Maria - Nivel,-75.60391,6.18417,Itagui,Santa Maria No. 1,,,,2018-12-05,Activa
345,Villa del Socorro - Meteorologica,-75.55392,6.29552,Medellin,Villa del Socorro,02 Santa Cruz,,,2019-01-18,Activa
346,Puente machado  - Nivel,-75.53776,6.33590,Bello,Machado,Comuna 10,,,2019-01-23,Activa
347,Monte Alvernia,-75.60539,6.31041,Bello,,,,El Carmelo,2019-02-05,Inactiva
349,Institucion Educativa La Candelaria - Meteorologica,-75.54589,6.29647,Medellin,Santo Domingo Savio,01 Popular,,,2019-01-30,Activa
351,Radar de Vientos -  Disdrometro,-75.58990,6.22930,Medellin,Belen Las Playas,16 Belen,,,2019-01-31,Activa
352,Institucion Educativa La Candelaria - Pluviografica,-75.54589,6.29647,Medellin,Santo Domingo Savio,01 Popular,,,2019-02-01,Activa
353,Villa del Socorro - Pluviografica,-75.55392,6.29552,Medellin,Villa del Socorro,02 Santa Cruz,,,2019-02-01,Activa
354,Villa Niza - Meteorologica,-75.55678,6.29514,Medellin,Villa Niza,02 Santa Cruz,,,2019-02-08,Activa
355,Escuela Piedras Gordas - Meteorologica,-75.49844,6.23614,Medellin,,,90 Santa Elena,Piedras Gordas,2019-02-12,Activa
356,Villa Niza - Pluviografica,-75.55678,6.29514,Medellin,Villa Niza,02 Santa Cruz,,,2019-02-08,Activa
357,Thies Concejo de Itagui - Meteorologica,-75.64410,6.16810,Itagui,Ditaires,,,,2019-02-26,Inactiva
359,Puente Peatonal Acevedo- Nivel,-75.55682,6.30689,Medellin,La Frontera,02 Santa Cruz,,,2019-02-27,Activa
360,Thies Miraflores- Meteorologica,-75.54919,6.22997,Medellin,Cataluna,09 Buenos Aires,,,2019-02-27,Activa
362,Proyecto Amsterdam,-75.55743,6.20131,Medellin,El Tesoro,14 El Poblado,,,2019-03-05,Activa
365,Escuela Rural Yarumalito - Disdrometro,-75.69397,6.23482,Medellin,,,80 San Antonio de Prado,Yarumalito,2019-03-07,Activa
367,Joaquin Vallejo - Meteorologica,-75.54273,6.25513,Medellin,La Ladera,08 Villa Hermosa,,,2019-03-18,Activa
368,Federico carrasquilla - Meteorologica,-75.54927,6.29722,Medellin,Popular,01 Popular,,,2019-03-29,Activa
369,Metro la estrella - Pluviografica,-75.62749,6.15231,Sabaneta,Ancon Sur,,,,2019-04-08,Activa
370,Metro la estrella - Disdrometro,-75.62749,6.15231,Sabaneta,Ancon Sur,,,,2019-04-08,Activa
372,Comfama Copacabana - Extensometro,-75.48344,6.37659,Medellin,,,,,2019-05-03,Inactiva
373,Comfama Copacabana - Pluviografica,-75.48344,6.37659,Copacabana,,,Ancon Norte,,2019-05-03,Activa
374,Comfama copacabana - acelerometro,-75.48282,6.37647,Copacabana,,,,,2019-05-06,Inactiva
375,Comfama copacabana - gnss,-75.48282,6.37647,Copacabana,,,,,2019-05-07,Inactiva
376,Feria de Ganado - Pluviografica,-75.56123,6.30302,Medellin,Belalcazar,5 Castilla,,,2019-05-14,Activa
377,Bulerias - Alcantarillado Lidar,-75.59290,6.23970,Medellin,,,,,2019-05-16,Activa
378,Edificio camacol - Pluviografica,-75.57859,6.25393,Medellin,Naranjal,11 Laureles - Estadio,,,2019-06-04,Activa
379,Ancon 2 Copacabana - acelerometro,0.00000,0.00000,Copacabana,,,,,2019-06-05,Activa
381,Salinas Caldas - Acelerometro,0.00000,0.00000,Caldas,,,,,2019-06-14,Inactiva
