Fecha hora inicio,Aeropuerto,Tipo Informe,Informe
2020-08- 18 06:00:00,SKCL,METAR,METAR SKCL 180600Z 33007KT 9999 FEW030 BKN100 23/19 A3000 NOSIG=
2020-08- 18 07:00:00,SKCL,METAR,METAR SKCL 180700Z 36004KT 9999 FEW030 BKN100 21/18 A2999 NOSIG=
2020-08- 18 07:00:00,SKRG,METAR,METAR SKRG 180700Z 36003KT 9999 FEW007 BKN080 15/15 A3028 NOSIG=
2020-08- 18 07:00:00,SKLT,METAR,METAR SKLT 180700Z VRB02KT 9999 FEW013 SCT100 24/24 A2983=
2020-08- 18 07:00:00,SKSP,METAR,METAR SKSP 180700Z 05007KT 9999 SCT014 SCT200 28/26 A2988=
2020-08- 18 07:00:00,SKBQ,METAR,METAR SKBQ 180700Z 03007KT 9999 SCT015 26/25 A2982 NOSIG=
2020-08- 18 07:00:00,SKBO,METAR,METAR SKBO 180700Z VRB02KT 9999 FEW017 SCT070 10/10 A3032 NOSIG=
2020-08- 18 07:30:00,SKPC,SPECI,SPECI SKPC 180730Z 17004KT 2000 +TSRA SCT010CB BKN070 24/23 A2987 RMK AD BLW MNM MET=
2020-08- 18 08:00:00,SKBO,METAR,METAR SKBO 180800Z VRB02KT 9999 FEW017 SCT070 09/09 A3031 NOSIG=
2020-08- 18 08:00:00,SKCL,METAR,METAR SKCL 180800Z 07004KT 9999 SCT030 BKN100 21/18 A2999 NOSIG=
2020-08- 18 08:00:00,SKLT,METAR,METAR SKLT 180800Z VRB02KT 9999 FEW013 SCT100 24/24 A2981=
2020-08- 18 08:00:00,SKBQ,METAR,METAR SKBQ 180800Z 08003KT 050V110 9999 SCT015 25/25 A2980 NOSIG=
2020-08- 18 08:00:00,SKRG,METAR,METAR SKRG 180800Z VRB02KT 9999 FEW007 BKN080 14/14 A3028 NOSIG=
2020-08- 18 08:00:00,SKSP,METAR,METAR SKSP 180800Z 05006KT 9999 FEW014 SCT200 28/25 A2987=
2020-08- 18 09:00:00,SKSP,METAR,METAR SKSP 180900Z 04008KT 360V070 9999 FEW014 28/25 A2984=
2020-08- 18 09:00:00,SKBQ,METAR,METAR SKBQ 180900Z 08005KT 9999 BKN012 25/25 A2981 NOSIG=
2020-08- 18 09:00:00,SKRG,METAR,METAR SKRG 180900Z 34004KT 9999 SCT007 BKN080 15/14 A3028 NOSIG=
2020-08- 18 09:00:00,SKCL,METAR,METAR SKCL 180900Z VRB02KT 9999 FEW030 BKN100 21/18 A2999 NOSIG=
2020-08- 18 09:00:00,SKBO,METAR,METAR SKBO 180900Z VRB02KT 9999 FEW017 SCT070 08/08 A3031 NOSIG=
2020-08- 18 09:00:00,SKLT,METAR,METAR SKLT 180900Z 23003KT 9999 FEW013 SCT100 24/24 A2980=
2020-08- 18 10:00:00,SKSP,METAR,METAR SKSP 181000Z 04008KT 360V070 9999 FEW014 28/25 A2984=
